,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Adalar,40.87625945,29.091027262109566,50. Yıl Korusu,40.94154631859342,29.123210746492312,Park
1,Adalar,40.87625945,29.091027262109566,Aşıklar Tepesi,40.86071830891064,29.113596357151092,Mountain
2,Adalar,40.87625945,29.091027262109566,Büyükada Tepesi,40.86110731582284,29.117417559285528,Mountain
3,Adalar,40.87625945,29.091027262109566,Caddebostan - Fenerbahçe Yürüyüş Yolu,40.96987423867746,29.052893784241334,Park
4,Adalar,40.87625945,29.091027262109566,Fenerbahçe Parkı,40.96848348418575,29.035801033717465,Park
5,Adalar,40.87625945,29.091027262109566,Göztepe 60. Yıl Parkı,40.97006567518049,29.05868942940829,Park
6,Arnavutköy,41.184182,28.7407289,Bahçetepe İstanbul Hobi Bahçeleri,41.10025565175384,28.76856125448972,Garden
7,Ataşehir,40.984748700000004,29.106719899999998,Ataşehir Yürüyüş Parkuru,40.99078068672131,29.121711354588655,Field
8,Ataşehir,40.984748700000004,29.106719899999998,Caddebostan - Fenerbahçe Yürüyüş Yolu,40.96987423867746,29.052893784241334,Park
9,Ataşehir,40.984748700000004,29.106719899999998,Fenerbahçe Parkı,40.96848348418575,29.035801033717465,Park
10,Ataşehir,40.984748700000004,29.106719899999998,Göztepe 60. Yıl Parkı,40.97006567518049,29.05868942940829,Park
11,Ataşehir,40.984748700000004,29.106719899999998,Özgürlük Parkı,40.97955190921826,29.054109751550506,Park
12,Avcılar,40.98013529999999,28.7175465,Florya Atatürk Ormanı,40.98183977105745,28.785882563761692,Forest
13,Bahçelievler,41.0002895,28.8637451,Florya Atatürk Ormanı,40.98183977105745,28.785882563761692,Forest
14,Bakırköy,40.9835414,28.867973499999998,Florya Atatürk Ormanı,40.98183977105745,28.785882563761692,Forest
15,Bayrampaşa,41.0357375,28.9122605,Gülhane Parkı,41.012038822058145,28.978815233800894,Park
16,Bağcılar,41.0338992,28.8578982,Florya Atatürk Ormanı,40.98183977105745,28.785882563761692,Forest
17,Başakşehir,41.0976935,28.8061626,Florya Atatürk Ormanı,40.98183977105745,28.785882563761692,Forest
18,Beykoz,41.123935499999995,29.108315100000002,Bebek Parkı,41.076047982607655,29.043932829692384,Park
19,Beykoz,41.123935499999995,29.108315100000002,Emirgan Korusu (Emirgân Korusu),41.10884028797738,29.053354034688006,Garden
20,Beykoz,41.123935499999995,29.108315100000002,Polonezköy Tabiat Parkı,41.11088913937266,29.203798171922315,Park
21,Beylikdüzü,41.001026200000005,28.6419843,Yaşam Vadisi,41.00477798529722,28.63652630961506,Botanical Garden
22,Beyoğlu,41.02842329999999,28.9736808,Gülhane Parkı,41.012038822058145,28.978815233800894,Park
23,Beyoğlu,41.02842329999999,28.9736808,Maçka Demokrasi Parkı,41.04603272452558,28.98929206419319,Park
